Name,Cloud Cover,Solar Radiation,Relative Humidity,Temperature,Wind Speed,Solar Energy
"Kyoto, Japan",0.0,732.3,35.9,70.9,5.4,2.6
"Kyoto, Japan",0.0,565.7,39.8,69.2,5.1,2.0
"Kyoto, Japan",0.0,399.0,43.7,67.6,4.7,1.4
"Kyoto, Japan",0.0,333.7,46.9,65.2,4.0,1.2
"Kyoto, Japan",0.0,268.3,50.0,62.9,3.2,1.0
"Kyoto, Japan",0.0,203.0,53.2,60.5,2.5,0.7
"Kyoto, Japan",0.0,135.3,55.7,59.5,2.3,0.5
"Kyoto, Japan",0.0,67.7,58.2,58.5,2.2,0.2
"Kyoto, Japan",0.0,0.0,60.7,57.5,2.0,0.0
"Kyoto, Japan",0.0,0.0,63.0,56.8,2.0,0.0
"Kyoto, Japan",0.0,0.0,65.2,56.1,2.0,0.0
"Kyoto, Japan",0.0,0.0,67.5,55.5,2.0,0.0
"Kyoto, Japan",1.5,4.7,67.9,55.6,2.2,0.0
"Kyoto, Japan",3.1,9.3,68.2,55.7,2.3,0.0
"Kyoto, Japan",4.6,14.0,68.6,55.8,2.5,0.1
"Kyoto, Japan",4.6,85.3,62.1,59.1,2.6,0.3
"Kyoto, Japan",4.5,156.7,55.5,62.4,2.8,0.6
"Kyoto, Japan",4.5,228.0,49.0,65.7,2.9,0.8
"Kyoto, Japan",36.3,448.7,45.3,68.2,3.6,1.6
"Kyoto, Japan",68.2,669.3,41.7,70.7,4.3,2.4
"Kyoto, Japan",100.0,890.0,38.0,73.1,4.9,3.2
"Kyoto, Japan",100.0,861.3,39.4,73.5,6.7,3.1
"Kyoto, Japan",100.0,832.7,40.8,73.9,8.5,3.0
"Kyoto, Japan",100.0,804.0,42.2,74.2,10.3,2.9
"Kyoto, Japan",100.0,642.7,48.3,71.7,9.3,2.3
"Kyoto, Japan",100.0,481.3,54.4,69.2,8.4,1.7
"Kyoto, Japan",100.0,320.0,60.5,66.6,7.4,1.2
"Kyoto, Japan",99.0,267.3,62.9,65.4,5.7,1.0
"Kyoto, Japan",97.9,214.7,65.4,64.2,4.1,0.8
"Kyoto, Japan",96.9,162.0,67.8,63.1,2.5,0.6
"Kyoto, Japan",76.1,108.0,72.0,61.8,2.5,0.4
"Kyoto, Japan",55.3,54.0,76.3,60.6,2.6,0.2
"Kyoto, Japan",34.5,0.0,80.5,59.4,2.7,0.0
"Kyoto, Japan",53.3,0.0,83.2,58.7,3.2,0.0
"Kyoto, Japan",72.1,0.0,85.8,58.0,3.7,0.0
"Kyoto, Japan",90.9,0.0,88.5,57.3,4.3,0.0
"Kyoto, Japan",93.9,3.3,87.0,57.5,4.1,0.0
"Kyoto, Japan",97.0,6.7,85.5,57.6,4.0,0.0
"Kyoto, Japan",100.0,10.0,84.0,57.8,3.8,0.0
"Kyoto, Japan",100.0,39.7,81.1,59.3,3.8,0.1
"Kyoto, Japan",100.0,69.3,78.3,60.8,3.8,0.2
"Kyoto, Japan",100.0,99.0,75.4,62.3,3.8,0.4
"Kyoto, Japan",100.0,100.7,80.0,62.0,4.1,0.4
"Kyoto, Japan",100.0,102.3,84.7,61.7,4.4,0.4
"Kyoto, Japan",100.0,104.0,89.3,61.4,4.7,0.4
"Kyoto, Japan",100.0,89.0,91.0,60.2,6.4,0.3
"Kyoto, Japan",100.0,74.0,92.6,59.0,8.1,0.3
"Kyoto, Japan",100.0,59.0,94.3,57.8,9.8,0.2
"Kyoto, Japan",100.0,41.7,94.3,55.8,8.0,0.2
"Kyoto, Japan",100.0,24.3,94.3,53.9,6.1,0.1
"Kyoto, Japan",100.0,7.0,94.3,51.9,4.3,0.0
"Kyoto, Japan",100.0,5.7,92.2,52.1,3.7,0.0
"Kyoto, Japan",100.0,4.3,90.2,52.2,3.2,0.0
"Kyoto, Japan",100.0,3.0,88.1,52.4,2.7,0.0
"Kyoto, Japan",100.0,2.0,87.9,52.0,2.6,0.0
"Kyoto, Japan",100.0,1.0,87.7,51.5,2.5,0.0
"Kyoto, Japan",100.0,0.0,87.5,51.0,2.5,0.0
"Kyoto, Japan",100.0,0.0,85.9,50.7,2.4,0.0
"Kyoto, Japan",100.0,0.0,84.2,50.4,2.3,0.0
"Kyoto, Japan",100.0,0.0,82.6,50.1,2.2,0.0
"Kyoto, Japan",100.0,3.3,81.7,50.1,2.3,0.0
"Kyoto, Japan",100.0,6.7,80.8,50.1,2.4,0.0
"Kyoto, Japan",100.0,10.0,79.9,50.1,2.5,0.0
"Kyoto, Japan",100.0,54.7,72.7,52.6,2.0,0.2
"Kyoto, Japan",100.0,99.3,65.4,55.0,1.6,0.4
"Kyoto, Japan",100.0,144.0,58.2,57.5,1.1,0.5
"Kyoto, Japan",100.0,353.7,51.5,60.2,1.9,1.3
"Kyoto, Japan",100.0,563.3,44.9,62.9,2.8,2.0
"Kyoto, Japan",100.0,773.0,38.2,65.6,3.6,2.8
"Kyoto, Japan",92.0,774.7,37.8,66.3,4.1,2.8
"Kyoto, Japan",83.9,776.3,37.3,67.0,4.6,2.8
"Kyoto, Japan",75.9,778.0,36.9,67.7,5.1,2.8
"Kyoto, Japan",83.9,646.3,40.6,66.4,4.8,2.3
"Kyoto, Japan",92.0,514.7,44.3,65.0,4.5,1.9
"Kyoto, Japan",100.0,383.0,48.0,63.6,4.3,1.4
"Kyoto, Japan",95.5,320.3,49.8,61.3,3.5,1.2
"Kyoto, Japan",91.0,257.7,51.7,59.0,2.8,0.9
"Kyoto, Japan",86.5,195.0,53.5,56.7,2.0,0.7
"Kyoto, Japan",91.0,130.0,54.5,56.0,1.8,0.5
"Kyoto, Japan",95.5,65.0,55.5,55.3,1.6,0.2
"Kyoto, Japan",100.0,0.0,56.5,54.6,1.3,0.0
"Kyoto, Japan",100.0,0.0,60.5,54.3,1.0,0.0
"Kyoto, Japan",100.0,0.0,64.4,54.1,0.7,0.0
"Kyoto, Japan",100.0,0.0,68.4,53.9,0.4,0.0
"Kyoto, Japan",100.0,4.3,70.9,53.9,0.4,0.0
"Kyoto, Japan",100.0,8.7,73.5,53.9,0.4,0.0
"Kyoto, Japan",100.0,13.0,76.0,53.9,0.4,0.0
"Kyoto, Japan",100.0,62.0,71.5,56.2,1.5,0.2
"Kyoto, Japan",100.0,111.0,67.0,58.6,2.5,0.4
"Kyoto, Japan",100.0,160.0,62.5,60.9,3.6,0.6
"Kyoto, Japan",100.0,248.0,60.2,62.1,3.8,0.9
"Kyoto, Japan",100.0,336.0,58.0,63.3,4.0,1.2
"Kyoto, Japan",100.0,424.0,55.7,64.5,4.3,1.5
"Kyoto, Japan",100.0,441.3,52.7,65.7,4.9,1.6
"Kyoto, Japan",100.0,458.7,49.7,66.9,5.6,1.7
"Kyoto, Japan",100.0,476.0,46.7,68.1,6.3,1.7
"Kyoto, Japan",100.0,396.7,51.9,66.5,5.2,1.4
"Kyoto, Japan",100.0,317.3,57.0,65.0,4.2,1.1
"Kyoto, Japan",100.0,238.0,62.2,63.4,3.1,0.9
"Kyoto, Japan",99.3,199.3,65.3,61.7,2.8,0.7
"Kyoto, Japan",98.7,160.7,68.3,59.9,2.4,0.6
"Kyoto, Japan",98.0,122.0,71.4,58.2,2.0,0.4
"Kyoto, Japan",95.3,81.3,71.3,57.1,2.5,0.3
"Kyoto, Japan",92.7,40.7,71.2,55.9,2.9,0.1
"Kyoto, Japan",90.0,0.0,71.1,54.8,3.4,0.0
"Kyoto, Japan",93.3,0.0,67.1,54.3,3.0,0.0
"Kyoto, Japan",96.7,0.0,63.2,53.9,2.6,0.0
"Kyoto, Japan",100.0,0.0,59.2,53.5,2.2,0.0
"Kyoto, Japan",100.0,4.0,60.4,53.8,2.1,0.0
"Kyoto, Japan",100.0,8.0,61.5,54.0,1.9,0.0
"Kyoto, Japan",100.0,12.0,62.7,54.2,1.8,0.0
"Kyoto, Japan",100.0,70.7,60.2,57.6,2.1,0.3
"Kyoto, Japan",100.0,129.3,57.7,61.0,2.4,0.5
"Kyoto, Japan",100.0,188.0,55.2,64.3,2.7,0.7
"Kyoto, Japan",100.0,383.3,50.2,67.0,3.3,1.4
"Kyoto, Japan",100.0,578.7,45.2,69.7,3.9,2.1
"Kyoto, Japan",100.0,774.0,40.2,72.4,4.5,2.8
"Kyoto, Japan",100.0,682.8,42.3,71.4,4.2,2.5
"Kyoto, Japan",100.0,591.7,44.4,70.4,4.0,2.1
"Kyoto, Japan",100.0,500.5,46.5,69.4,3.7,1.8
"Kyoto, Japan",100.0,409.3,48.5,68.5,3.4,1.5
"Kyoto, Japan",100.0,318.2,50.6,67.5,3.2,1.1
"Kyoto, Japan",100.0,227.0,52.7,66.5,2.9,0.8
"Kyoto, Japan",100.0,190.0,55.6,64.6,3.1,0.7
"Kyoto, Japan",100.0,153.0,58.6,62.8,3.4,0.6
"Kyoto, Japan",100.0,116.0,61.5,60.9,3.6,0.4
