TIME,demand,solar,wind
2:00,"2,219",0,24
3:00,"2,202",0,26
4:00,"2,189",0,30
5:00,"2,180",0,30
6:00,"2,207",12,31
7:00,"2,325",57,29
8:00,"2,526",142,29
9:00,"2,688",127,29
10:00,"2,742",208,28
11:00,"2,777",183,28
12:00,"2,781",142,28
13:00,"2,766",217,29
14:00,"2,701",206,28
15:00,"2,728",259,25
16:00,"2,776",160,24
17:00,"2,875",37,26
18:00,"3,075",0,25
19:00,"3,077",0,26
20:00,"2,959",0,26
21:00,"2,794",0,28
22:00,"2,622",0,28
23:00,"2,452",0,27
0:00,"2,280",0,29
1:00,"2,185",0,27
2:00,"2,177",0,26
3:00,"2,198",0,23
4:00,"2,237",0,22
5:00,"2,302",6,20
6:00,"2,491",102,17
7:00,"2,676",260,13
8:00,"2,942",390,13
9:00,"3,164",499,12
10:00,"3,246",569,11
11:00,"3,288",532,11
12:00,"3,144",411,14
13:00,"3,357",250,16
14:00,"3,346",115,16
15:00,"3,303",45,16
16:00,"3,341",12,17
17:00,"3,358",0,13
18:00,"3,413",0,15
19:00,"3,274",0,16
20:00,"3,104",0,17
21:00,"2,951",0,20
22:00,"2,884",0,18
23:00,"2,685",0,16
0:00,"2,443",0,15
1:00,"2,330",0,13
2:00,"2,311",0,14
3:00,"2,323",0,13
4:00,"2,360",0,12
5:00,"2,421",6,12
6:00,"2,597",112,10
7:00,"2,777",298,7
8:00,"3,003",462,4
9:00,"3,192",571,3
10:00,"3,248",627,4
11:00,"3,273",638,5
12:00,"3,110",585,6
13:00,"3,270",532,9
14:00,"3,266",388,11
15:00,"3,229",199,13
16:00,"3,287",97,11
17:00,"3,279",24,12
18:00,"3,351",0,16
19:00,"3,235",0,18
20:00,"3,083",0,17
21:00,"2,955",0,17
22:00,"2,865",0,15
23:00,"2,678",0,13
0:00,"2,469",0,12
1:00,"2,349",0,12
2:00,"2,329",0,11
3:00,"2,350",0,10
4:00,"2,397",0,8
5:00,"2,464",11,7
6:00,"2,646",129,5
7:00,"2,811",297,4
8:00,"3,021",458,3
9:00,"3,215",580,2
10:00,"3,258",643,2
11:00,"3,265",657,1
12:00,"3,104",626,2
13:00,"3,245",566,3
14:00,"3,270",477,4
15:00,"3,247",333,5
16:00,"3,267",175,6
17:00,"3,236",42,7
18:00,"3,349",0,8
19:00,"3,293",0,9
20:00,"3,140",0,9
21:00,"3,005",0,9
22:00,"2,918",0,8
23:00,"2,726",0,7
0:00,"2,517",0,7
1:00,"2,394",0,7
2:00,"2,380",0,7
3:00,"2,398",0,7
4:00,"2,435",0,6
5:00,"2,499",3,6
6:00,"2,682",51,7
7:00,"2,894",128,7
8:00,"3,135",194,8
9:00,"3,264",235,9
10:00,"3,352",255,11
11:00,"3,386",221,12
12:00,"3,224",158,13
13:00,"3,413",149,13
14:00,"3,435",65,12
15:00,"3,413",26,11
16:00,"3,428",6,11
17:00,"3,441",0,12
18:00,"3,484",0,15
19:00,"3,357",0,20
20:00,"3,193",0,20
21:00,"3,051",0,20
22:00,"2,946",0,20
23:00,"2,746",0,19
0:00,"2,528",0,13
1:00,"2,400",0,12
2:00,"2,389",0,10
3:00,"2,407",0,9
4:00,"2,434",0,10
5:00,"2,494",5,8
6:00,"2,662",96,7
7:00,"2,853",246,8
8:00,"3,083",393,7
9:00,"3,309",521,5
10:00,"3,377",592,5
11:00,"3,363",574,4
12:00,"3,189",475,4
13:00,"3,398",416,3
14:00,"3,434",373,4
15:00,"3,386",229,4
16:00,"3,361",83,4
17:00,"3,310",13,4
18:00,"3,371",0,4
19:00,"3,257",0,5
20:00,"3,105",0,5
21:00,"2,964",0,4
22:00,"2,875",0,4
23:00,"2,701",0,3
0:00,"2,504",0,2
1:00,"2,378",0,1
2:00,"2,344",0,1
3:00,"2,340",0,1
4:00,"2,337",0,1
5:00,"2,348",0,2
6:00,"2,392",29,2
7:00,"2,523",124,2
8:00,"2,716",278,3
9:00,"2,912",372,3
10:00,"2,975",442,3
11:00,"2,972",462,4
12:00,"2,918",469,5
13:00,"2,960",453,6
14:00,"2,959",381,7
15:00,"2,935",218,7
16:00,"2,948",97,8
17:00,"2,996",10,8
18:00,"3,145",0,9
19:00,"3,095",0,10
20:00,"2,982",0,9
21:00,"2,810",0,13
22:00,"2,663",0,13
23:00,"2,496",0,12
0:00,"2,313",0,9
1:00,"2,216",0,8
2:00,"2,197",0,9
3:00,"2,194",0,10
4:00,"2,172",0,11
5:00,"2,176",0,11
6:00,"2,192",4,10
7:00,"2,343",38,8
8:00,"2,568",92,6
9:00,"2,730",177,6
10:00,"2,780",284,6
11:00,"2,754",367,8
12:00,"2,697",417,6
13:00,"2,677",458,5
14:00,"2,678",394,4
15:00,"2,675",209,4
16:00,"2,732",69,3
17:00,"2,858",7,3
18:00,"3,048",0,3
19:00,"3,029",0,3
20:00,"2,926",0,2
21:00,"2,770",0,2
22:00,"2,588",0,2
23:00,"2,409",0,3
0:00,"2,252",0,3
1:00,"2,163",0,3
2:00,"2,163",0,3
3:00,"2,193",0,3
4:00,"2,248",0,4
5:00,"2,326",4,4
6:00,"2,514",71,4
7:00,"2,722",261,4
8:00,"2,962",422,4
9:00,"3,153",526,3
10:00,"3,205",554,3
11:00,"3,245",541,3
12:00,"3,160",548,3
13:00,"3,342",516,3
14:00,"3,365",389,3
15:00,"3,324",233,3
16:00,"3,335",114,3
17:00,"3,295",25,3
18:00,"3,375",0,4
19:00,"3,272",0,5
20:00,"3,118",0,5
21:00,"2,976",0,5
22:00,"2,901",0,5
23:00,"2,728",0,5
0:00,"2,536",0,6
1:00,"2,419",0,6
2:00,"2,407",0,6
3:00,"2,426",0,5
4:00,"2,462",0,5
5:00,"2,503",12,6
6:00,"2,659",119,5
7:00,"2,859",287,5
8:00,"3,093",423,4
9:00,"3,334",538,4
10:00,"3,408",604,3
11:00,"3,451",640,3
12:00,"3,293",622,3
13:00,"3,441",560,4
14:00,"3,467",470,5
15:00,"3,445",327,6
16:00,"3,446",176,4
17:00,"3,368",49,3
18:00,"3,427",0,3
19:00,"3,350",0,3
20:00,"3,178",0,3
21:00,"3,034",0,3
22:00,"2,926",0,2
23:00,"2,750",0,1
0:00,"2,530",0,1
1:00,"2,409",0,1
2:00,"2,387",0,0
3:00,"2,411",0,0
4:00,"2,448",0,1
5:00,"2,472",6,0
6:00,"2,635",64,1
7:00,"2,864",156,1
8:00,"3,116",244,2
9:00,"3,368",338,2
10:00,"3,408",326,3
11:00,"3,437",338,4
12:00,"3,270",311,6
13:00,"3,411",262,6
14:00,"3,397",189,8
15:00,"3,386",120,8
16:00,"3,398",34,9
17:00,"3,372",1,8
18:00,"3,408",0,8
19:00,"3,308",0,8
20:00,"3,138",0,9
21:00,"2,988",0,10
22:00,"2,873",0,11
23:00,"2,688",0,11
0:00,"2,510",0,7
1:00,"2,396",0,7
2:00,"2,376",0,8
3:00,"2,406",0,9
4:00,"2,434",0,10
5:00,"2,514",0,10
6:00,"2,718",0,11
7:00,"2,948",8,10
8:00,"3,199",26,11
9:00,"3,437",54,11
10:00,"3,488",89,13
11:00,"3,491",107,11
12:00,"3,309",107,10
13:00,"3,439",99,10
14:00,"3,426",80,10
15:00,"3,379",51,13
16:00,"3,378",36,16
17:00,"3,333",3,17
18:00,"3,366",0,18
19:00,"3,248",0,17
20:00,"3,084",0,16
21:00,"2,929",0,16
22:00,"2,853",0,20
23:00,"2,671",0,20
0:00,"2,483",0,23
1:00,"2,364",0,21
2:00,"2,334",0,22
3:00,"2,341",0,21
4:00,"2,340",0,17
5:00,"2,312",12,16
6:00,"2,344",92,16
7:00,"2,466",217,15
8:00,"2,631",305,14
9:00,"2,785",403,13
10:00,"2,859",526,13
11:00,"2,860",573,14
12:00,"2,799",578,16
13:00,"2,794",511,16
14:00,"2,804",466,16
15:00,"2,801",359,16
16:00,"2,819",206,16
17:00,"2,837",54,15
18:00,"3,009",0,16
19:00,"3,050",0,15
20:00,"2,956",0,15
21:00,"2,805",0,16
22:00,"2,661",0,15
23:00,"2,494",0,15
0:00,"2,312",0,17
1:00,"2,205",0,15
2:00,"2,189",0,14
3:00,"2,195",0,15
4:00,"2,213",0,13
5:00,"2,216",20,11
6:00,"2,283",151,10
7:00,"2,401",324,11
8:00,"2,587",471,11
9:00,"2,739",582,12
10:00,"2,774",629,11
11:00,"2,762",625,13
12:00,"2,731",609,12
13:00,"2,755",539,11
14:00,"2,762",423,11
15:00,"2,743",289,12
16:00,"2,753",144,14
17:00,"2,774",28,13
18:00,"2,932",0,12
19:00,"2,964",0,10
20:00,"2,850",0,9
21:00,"2,703",0,9
22:00,"2,551",0,9
23:00,"2,392",0,9
0:00,"2,229",0,8
1:00,"2,120",0,8
2:00,"2,108",0,8
3:00,"2,120",0,8
4:00,"2,123",0,9
5:00,"2,094",11,8
6:00,"2,121",114,8
7:00,"2,176",240,8
8:00,"2,319",349,8
9:00,"2,440",458,11
10:00,"2,469",527,11
11:00,"2,550",625,10
12:00,"2,558",585,12
13:00,"2,547",515,16
14:00,"2,586",434,18
15:00,"2,597",266,20
16:00,"2,609",125,21
17:00,"2,692",35,21
18:00,"2,870",0,16
19:00,"2,872",0,15
20:00,"2,757",0,14
21:00,"2,606",0,9
22:00,"2,441",0,7
23:00,"2,278",0,5
0:00,"2,125",0,5
1:00,"2,045",0,4
2:00,"2,047",0,4
3:00,"2,076",0,4
4:00,"2,109",0,4
5:00,"2,148",0,3
6:00,"2,292",31,2
7:00,"2,476",104,2
8:00,"2,696",192,2
9:00,"2,839",292,1
10:00,"2,909",373,1
11:00,"2,966",418,1
12:00,"2,940",407,1
13:00,"2,987",352,1
14:00,"2,997",270,1
15:00,"2,963",164,1
16:00,"2,982",87,2
17:00,"3,017",24,2
18:00,"3,109",0,2
19:00,"3,063",0,3
20:00,"2,894",0,4
21:00,"2,719",0,4
22:00,"2,626",0,5
23:00,"2,449",0,5
0:00,"2,236",0,5
1:00,"2,131",0,7
2:00,"2,119",0,7
3:00,"2,129",0,6
4:00,"2,136",0,6
5:00,"2,103",4,6
6:00,"2,143",58,7
7:00,"2,221",133,8
