Name,Cloud Cover,Solar Radiation,Relative Humidity,Temperature,Wind Speed,Solar Energy
"Matsuyama, Japan",100.0,39.0,94.0,17.3,4.0,0.1
"Matsuyama, Japan",100.0,33.0,94.5,17.2,3.7,0.1
"Matsuyama, Japan",100.0,27.0,95.0,17.2,3.5,0.1
"Matsuyama, Japan",100.0,21.0,95.5,17.2,3.2,0.1
"Matsuyama, Japan",100.0,14.0,95.3,17.2,4.6,0.1
"Matsuyama, Japan",100.0,7.0,95.2,17.3,5.9,0.0
"Matsuyama, Japan",100.0,0.0,95.0,17.4,7.2,0.0
"Matsuyama, Japan",100.0,0.0,95.1,17.3,6.2,0.0
"Matsuyama, Japan",100.0,0.0,95.3,17.2,5.3,0.0
"Matsuyama, Japan",100.0,0.0,95.4,17.2,4.3,0.0
"Matsuyama, Japan",97.8,0.3,95.4,17.3,3.8,0.0
"Matsuyama, Japan",95.7,0.7,95.5,17.4,3.4,0.0
"Matsuyama, Japan",93.5,1.0,95.5,17.5,2.9,0.0
"Matsuyama, Japan",85.3,45.3,94.4,18.0,3.8,0.2
"Matsuyama, Japan",77.2,89.7,93.4,18.6,4.8,0.3
"Matsuyama, Japan",69.0,134.0,92.3,19.2,5.8,0.5
"Matsuyama, Japan",77.9,232.7,92.1,19.1,6.1,0.8
"Matsuyama, Japan",86.9,331.3,92.0,19.1,6.5,1.2
"Matsuyama, Japan",95.8,430.0,91.8,19.1,6.8,1.5
"Matsuyama, Japan",97.2,402.7,91.4,19.1,5.5,1.4
"Matsuyama, Japan",98.6,375.3,90.9,19.1,4.2,1.4
"Matsuyama, Japan",100.0,348.0,90.5,19.1,2.9,1.3
"Matsuyama, Japan",99.2,302.7,90.9,19.1,2.2,1.1
"Matsuyama, Japan",98.3,257.3,91.2,19.1,1.4,0.9
"Matsuyama, Japan",97.5,212.0,91.6,19.1,0.7,0.8
"Matsuyama, Japan",98.1,177.3,93.5,18.6,1.2,0.6
"Matsuyama, Japan",98.8,142.7,95.4,18.1,1.7,0.5
"Matsuyama, Japan",99.4,108.0,97.3,17.6,2.2,0.4
"Matsuyama, Japan",99.3,72.0,97.0,17.6,2.4,0.3
"Matsuyama, Japan",99.1,36.0,96.8,17.6,2.6,0.1
"Matsuyama, Japan",99.0,0.0,96.5,17.6,2.9,0.0
"Matsuyama, Japan",88.2,0.0,95.9,17.3,4.8,0.0
"Matsuyama, Japan",77.3,0.0,95.2,17.0,6.7,0.0
"Matsuyama, Japan",66.5,0.0,94.6,16.7,8.6,0.0
"Matsuyama, Japan",77.7,2.3,94.3,16.6,9.0,0.0
"Matsuyama, Japan",88.8,4.7,93.9,16.5,9.4,0.0
"Matsuyama, Japan",100.0,7.0,93.6,16.5,9.7,0.0
"Matsuyama, Japan",100.0,21.7,89.3,17.4,10.8,0.1
"Matsuyama, Japan",100.0,36.3,85.1,18.3,11.9,0.1
"Matsuyama, Japan",100.0,51.0,80.8,19.2,13.0,0.2
"Matsuyama, Japan",100.0,232.3,77.5,19.9,15.8,0.8
"Matsuyama, Japan",100.0,413.7,74.3,20.6,18.7,1.5
"Matsuyama, Japan",100.0,595.0,71.0,21.4,21.6,2.1
"Matsuyama, Japan",100.0,517.7,72.9,21.4,21.2,1.9
"Matsuyama, Japan",100.0,440.3,74.7,21.4,20.9,1.6
"Matsuyama, Japan",100.0,363.0,76.6,21.4,20.5,1.3
"Matsuyama, Japan",100.0,247.3,81.4,20.7,21.0,0.9
"Matsuyama, Japan",100.0,131.7,86.2,20.1,21.5,0.5
"Matsuyama, Japan",100.0,16.0,91.0,19.5,22.0,0.1
"Matsuyama, Japan",100.0,13.3,92.7,19.2,18.2,0.0
"Matsuyama, Japan",100.0,10.7,94.4,18.9,14.5,0.0
"Matsuyama, Japan",100.0,8.0,96.1,18.6,10.8,0.0
"Matsuyama, Japan",100.0,5.3,97.2,17.3,11.0,0.0
"Matsuyama, Japan",100.0,2.7,98.2,16.0,11.3,0.0
"Matsuyama, Japan",100.0,0.0,99.3,14.8,11.5,0.0
"Matsuyama, Japan",100.0,0.0,99.2,14.6,10.7,0.0
"Matsuyama, Japan",100.0,0.0,99.2,14.4,9.8,0.0
"Matsuyama, Japan",100.0,0.0,99.1,14.2,9.0,0.0
"Matsuyama, Japan",100.0,0.0,98.2,13.5,9.2,0.0
"Matsuyama, Japan",100.0,0.0,97.3,12.8,9.5,0.0
"Matsuyama, Japan",100.0,0.0,96.4,12.1,9.7,0.0
"Matsuyama, Japan",100.0,6.0,95.9,12.2,9.7,0.0
"Matsuyama, Japan",100.0,12.0,95.5,12.4,9.7,0.0
"Matsuyama, Japan",100.0,18.0,95.0,12.6,9.7,0.1
"Matsuyama, Japan",100.0,66.0,91.0,13.0,9.5,0.2
